35728	17864	50	2752.35	1	1	0
35729	17864	50	2825.6	1	1	0
35732	17866	400	2900.05	1	1	0
35732	17866	50	2822.5	1	1	0
35732	17866	25	3019.0	0	1	0
35732	17866	25	2880.0	1	1	0
35733	17866	50	2905.0	1	1	0
35733	17866	8	2850.0	1	1	0
35733	17866	5	2907.1	1	1	0
35733	17866	5	2887.1	1	1	0
35734	17867	100	2901.0	1	1	0
35734	17867	100	2969.0	0	1	0
35734	17867	200	2979.9	0	1	0
35735	17867	2	3050.0	0	1	0
35739	17869	400	3000.0	0	1	0
35741	17870	400	2830.0	1	1	0
35743	17871	200	2930.05	1	1	0
35744	17872	25	2555.55	1	1	0
35745	17872	175	2910.0	1	1	0
35745	17872	175	2915.0	1	1	0
35746	17873	50	2901.0	1	1	0
35747	17873	175	2915.0	1	1	0
35748	17874	10	2870.0	1	1	0
35749	17874	5	2830.0	1	1	0
35749	17874	200	2910.0	1	1	0
35749	17874	100	2930.0	1	1	0
35750	17875	400	2830.0	1	1	0
35750	17875	10	2850.0	1	1	0
35751	17875	400	2989.0	0	1	0
35751	17875	25	3155.0	0	1	0
35752	17876	175	2931.0	1	1	0
35753	17876	600	2830.3	1	1	0
35754	17877	300	2928.0	1	1	0
35756	17878	100	2978.0	0	1	0
35756	17878	100	2968.0	0	1	0
35756	17878	200	2989.1	0	1	0
35756	17878	175	2932.0	1	1	0
35756	17878	200	2999.0	0	1	0
35756	17878	400	2911.0	1	1	0
35757	17878	200	2826.0	1	1	0
35758	17879	50	3000.0	0	1	0
35758	17879	400	2926.0	1	1	0
35759	17879	200	2968.0	0	1	0
35760	17880	600	2933.0	1	1	0
35762	17881	100	2933.0	1	1	0
35763	17881	400	2940.0	1	1	0
35764	17882	2	2998.0	0	1	0
35764	17882	200	2933.0	1	1	0
35766	17883	175	2935.0	1	1	0
35767	17883	100	2980.0	1	1	0
35769	17884	1	2932.0	0	1	0
35770	17885	200	2968.0	0	1	0
35770	17885	200	2941.0	1	1	0
35770	17885	10	2891.1	1	1	0
35770	17885	600	2940.3	1	1	0
35771	17885	300	2933.0	1	1	0
35772	17886	200	2930.05	1	1	0
35773	17886	175	2941.0	1	1	0
35775	17887	1		0	1	0
35776	17888	400	2940.0	1	1	0
35777	17888	1	2970.0	0	1	0
35778	17889	175	2941.15	1	1	0
35778	17889	200	2941.05	1	1	0
35779	17889	200	2933.0	1	1	0
35780	17890	200	2999.0	0	1	0
35781	17890	10	2933.0	1	1	0
35781	17890	200	2970.55	0	1	0
35781	17890	287	2985.2	0	1	0
35784	17892	600	2940.3	1	1	0
35784	17892	100	2935.0	1	1	0
35784	17892	400	2942.0	1	1	0
35785	17892	200	2942.05	1	1	0
35786	17893	200	2941.4	1	1	0
35786	17893	50	2968.0	1	1	0
